resource,Required,Optional,Optional+Computed,Computed-only
google_access_context_manager_access_level,4,41,0,0
google_access_context_manager_access_level_condition,1,17,0,0
google_access_context_manager_access_levels,6,55,0,0
google_access_context_manager_access_policy,0,1,0,0
google_access_context_manager_access_policy_iam_binding,2,1,0,0
google_access_context_manager_access_policy_iam_member,1,1,0,0
google_access_context_manager_access_policy_iam_policy,1,0,0,0
google_access_context_manager_authorized_orgs_desc,0,1,0,0
google_access_context_manager_egress_policy,1,0,0,0
google_access_context_manager_gcp_user_access_binding,0,25,0,0
google_access_context_manager_ingress_policy,1,0,0,0
google_access_context_manager_service_perimeter,0,238,0,0
google_access_context_manager_service_perimeter_dry_run_egress_policy,1,23,0,0
google_access_context_manager_service_perimeter_dry_run_ingress_policy,1,21,0,0
google_access_context_manager_service_perimeter_dry_run_resource,1,0,0,0
google_access_context_manager_service_perimeter_egress_policy,1,23,0,0
google_access_context_manager_service_perimeter_ingress_policy,1,21,0,0
google_access_context_manager_service_perimeter_resource,1,0,0,0
google_access_context_manager_service_perimeters,0,311,0,0
google_active_directory_domain,1,5,0,2
google_active_directory_domain_trust,2,1,0,0
google_active_directory_peering,0,3,0,2
google_alloydb_backup,1,6,0,7
google_alloydb_cluster,6,29,5,17
google_alloydb_instance,1,13,9,4
google_alloydb_user,1,1,0,0
google_api_gateway_api,0,3,0,2
google_api_gateway_api_config,6,9,0,2
google_api_gateway_api_config_iam_binding,2,1,0,0
google_api_gateway_api_config_iam_member,1,1,0,0
google_api_gateway_api_config_iam_policy,1,0,0,0
google_api_gateway_api_iam_binding,2,1,0,0
google_api_gateway_api_iam_member,1,1,0,0
google_api_gateway_api_iam_policy,1,0,0,0
google_api_gateway_gateway,1,3,0,2
google_api_gateway_gateway_iam_binding,2,1,0,0
google_api_gateway_gateway_iam_member,1,1,0,0
google_api_gateway_gateway_iam_policy,1,0,0,0
google_apigee_addons_config,0,11,0,0
google_apigee_api,0,4,0,2
google_apigee_api_deployment,0,0,0,0
google_apigee_api_product,0,63,0,0
google_apigee_app_group,0,1,0,0
google_apigee_control_plane_access,0,2,0,0
google_apigee_developer,0,1,0,0
google_apigee_developer_app,0,5,0,7
google_apigee_dns_zone,1,0,0,0
google_apigee_endpoint_attachment,0,0,0,0
google_apigee_env_keystore,0,0,0,1
google_apigee_env_references,0,0,0,0
google_apigee_envgroup,0,1,0,0
google_apigee_envgroup_attachment,0,0,0,0
google_apigee_environment,0,6,1,0
google_apigee_environment_addons_config,0,0,0,0
google_apigee_environment_api_revision_deployment,0,0,0,1
google_apigee_environment_iam_binding,2,1,0,0
google_apigee_environment_iam_member,1,1,0,0
google_apigee_environment_iam_policy,1,0,0,0
google_apigee_environment_keyvaluemaps,0,0,0,0
google_apigee_environment_keyvaluemaps_entries,0,0,0,0
google_apigee_flowhook,0,0,0,0
google_apigee_instance,0,1,2,0
