resource,attribute_path,detector_kind,detector_name,family,attr_class,base_weight,class_multiplier,weight,nested_weight,non_nested_weight,provenance,product,is_iam,file_path:line,notes
google_access_context_manager_access_level,basic,NestedBlock,schema.TypeList,NestedBlock,Optional,2.00,0.00,0.00,0.00,0.00,Generated,accesscontextmanager,false,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:127,
google_access_context_manager_access_level,basic.conditions,NestedBlock,schema.TypeList,NestedBlock,Required,2.00,0.00,0.00,0.00,0.00,Generated,accesscontextmanager,false,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:134,
google_access_context_manager_access_level,basic.conditions,NestedBlock,schema.TypeList,NestedBlock,Required,2.00,0.00,0.00,0.00,0.00,Generated,accesscontextmanager,false,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:134,
google_access_context_manager_access_level,basic.conditions.device_policy,NestedBlock,schema.TypeList,NestedBlock,Optional,2.00,0.00,0.00,0.00,0.00,Generated,accesscontextmanager,false,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:141,
google_access_context_manager_access_level,basic.conditions.device_policy,NestedBlock,schema.TypeList,NestedBlock,Optional,2.00,0.00,0.00,0.00,0.00,Generated,accesscontextmanager,false,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:141,
google_access_context_manager_access_level,basic.conditions.device_policy,NestedBlock,schema.TypeList,NestedBlock,Optional,2.00,0.00,0.00,0.00,0.00,Generated,accesscontextmanager,false,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:141,
google_access_context_manager_access_level,basic.conditions.device_policy.allowed_device_management_levels,NestedBlock,schema.TypeList,NestedBlock,Optional,2.00,0.00,0.00,0.00,0.00,Generated,accesscontextmanager,false,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:150,
google_access_context_manager_access_level,basic.conditions.device_policy.allowed_device_management_levels,NestedBlock,schema.TypeList,NestedBlock,Optional,2.00,0.00,0.00,0.00,0.00,Generated,accesscontextmanager,false,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:150,
google_access_context_manager_access_level,basic.conditions.device_policy.allowed_device_management_levels,NestedBlock,schema.TypeList,NestedBlock,Optional,2.00,0.00,0.00,0.00,0.00,Generated,accesscontextmanager,false,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:150,
google_access_context_manager_access_level,basic.conditions.device_policy.allowed_device_management_levels,NestedBlock,schema.TypeList,NestedBlock,Optional,2.00,0.00,0.00,0.00,0.00,Generated,accesscontextmanager,false,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:150,
google_access_context_manager_access_level,basic.conditions.device_policy.allowed_encryption_statuses,NestedBlock,schema.TypeList,NestedBlock,Optional,2.00,0.00,0.00,0.00,0.00,Generated,accesscontextmanager,false,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:160,
google_access_context_manager_access_level,basic.conditions.device_policy.allowed_encryption_statuses,NestedBlock,schema.TypeList,NestedBlock,Optional,2.00,0.00,0.00,0.00,0.00,Generated,accesscontextmanager,false,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:160,
google_access_context_manager_access_level,basic.conditions.device_policy.allowed_encryption_statuses,NestedBlock,schema.TypeList,NestedBlock,Optional,2.00,0.00,0.00,0.00,0.00,Generated,accesscontextmanager,false,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:160,
google_access_context_manager_access_level,basic.conditions.device_policy.allowed_encryption_statuses,NestedBlock,schema.TypeList,NestedBlock,Optional,2.00,0.00,0.00,0.00,0.00,Generated,accesscontextmanager,false,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:160,
google_access_context_manager_access_level,basic.conditions.device_policy.os_constraints,NestedBlock,schema.TypeList,NestedBlock,Optional,2.00,0.00,0.00,0.00,0.00,Generated,accesscontextmanager,false,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:170,
google_access_context_manager_access_level,basic.conditions.device_policy.os_constraints,NestedBlock,schema.TypeList,NestedBlock,Optional,2.00,0.00,0.00,0.00,0.00,Generated,accesscontextmanager,false,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:170,
google_access_context_manager_access_level,basic.conditions.device_policy.os_constraints,NestedBlock,schema.TypeList,NestedBlock,Optional,2.00,0.00,0.00,0.00,0.00,Generated,accesscontextmanager,false,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:170,
google_access_context_manager_access_level,basic.conditions.device_policy.os_constraints,NestedBlock,schema.TypeList,NestedBlock,Optional,2.00,0.00,0.00,0.00,0.00,Generated,accesscontextmanager,false,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:170,
