resource,Representation,NullEmpty,Ordering,CustomizeDiff,NestedBlock
google_access_context_manager_access_level,0,0,0,0,45
google_access_context_manager_access_level_condition,1,0,0,0,17
google_access_context_manager_access_levels,0,0,0,0,61
google_access_context_manager_access_policy,0,0,0,0,1
google_access_context_manager_access_policy_iam_binding,0,0,1,0,2
google_access_context_manager_access_policy_iam_member,1,0,0,0,1
google_access_context_manager_access_policy_iam_policy,1,0,0,0,0
google_access_context_manager_authorized_orgs_desc,0,0,0,0,1
google_access_context_manager_egress_policy,1,0,0,0,0
google_access_context_manager_gcp_user_access_binding,0,0,0,0,25
google_access_context_manager_ingress_policy,1,0,0,0,0
google_access_context_manager_service_perimeter,16,0,58,0,164
google_access_context_manager_service_perimeter_dry_run_egress_policy,7,0,0,0,17
google_access_context_manager_service_perimeter_dry_run_ingress_policy,7,0,0,0,15
google_access_context_manager_service_perimeter_dry_run_resource,1,0,0,0,0
google_access_context_manager_service_perimeter_egress_policy,7,0,0,0,17
google_access_context_manager_service_perimeter_ingress_policy,7,0,0,0,15
google_access_context_manager_service_perimeter_resource,1,0,0,0,0
google_access_context_manager_service_perimeters,0,0,96,0,215
google_active_directory_domain,0,0,1,2,5
google_active_directory_domain_trust,0,0,1,1,1
google_active_directory_peering,0,0,0,2,3
google_alloydb_backup,1,0,0,3,10
google_alloydb_cluster,2,0,0,3,52
google_alloydb_instance,1,0,0,2,24
google_alloydb_user,1,0,0,0,1
google_api_gateway_api,0,0,0,2,3
google_api_gateway_api_config,0,0,0,2,15
google_api_gateway_api_config_iam_binding,0,0,1,0,2
google_api_gateway_api_config_iam_member,1,0,0,0,1
google_api_gateway_api_config_iam_policy,1,0,0,0,0
google_api_gateway_api_iam_binding,0,0,1,0,2
google_api_gateway_api_iam_member,1,0,0,0,1
google_api_gateway_api_iam_policy,1,0,0,0,0
google_api_gateway_gateway,1,0,0,2,3
google_api_gateway_gateway_iam_binding,0,0,1,0,2
google_api_gateway_gateway_iam_member,1,0,0,0,1
google_api_gateway_gateway_iam_policy,1,0,0,0,0
google_apigee_addons_config,0,0,0,0,11
google_apigee_api,1,0,0,3,2
google_apigee_api_deployment,0,0,0,0,0
google_apigee_api_product,0,0,14,0,49
google_apigee_app_group,0,0,0,0,1
google_apigee_control_plane_access,0,0,0,0,2
google_apigee_developer,0,0,0,0,1
google_apigee_developer_app,0,0,2,0,10
google_apigee_dns_zone,0,0,0,0,1
google_apigee_endpoint_attachment,0,0,0,0,0
google_apigee_env_keystore,0,0,0,0,1
google_apigee_env_references,0,0,0,0,0
google_apigee_envgroup,0,0,0,0,1
google_apigee_envgroup_attachment,0,0,0,0,0
google_apigee_environment,0,0,0,0,7
google_apigee_environment_addons_config,0,0,0,0,0
google_apigee_environment_api_revision_deployment,0,0,0,0,1
google_apigee_environment_iam_binding,0,0,1,0,2
google_apigee_environment_iam_member,1,0,0,0,1
google_apigee_environment_iam_policy,1,0,0,0,0
