product,Representation,NullEmpty,Ordering,CustomizeDiff,NestedBlock
accessapproval,0,0,6,0,6
accesscontextmanager,51,0,155,0,596
activedirectory,0,0,2,5,9
alloydb,5,0,0,8,87
apigateway,7,0,3,6,30
apigee,5,0,17,6,150
apihub,1,0,0,6,57
appengine,2,0,2,9,76
apphub,3,0,0,5,38
artifactregistry,12,0,2,3,67
backupdr,2,0,0,7,29
beyondcorp,4,0,3,8,90
biglake,0,0,0,1,8
bigquery,43,0,3,10,173
bigqueryanalyticshub,24,0,4,4,41
bigqueryconnection,2,0,1,1,17
bigquerydatapolicy,5,0,1,1,4
bigquerydatapolicyv2,4,0,1,1,5
bigquerydatatransfer,0,0,0,3,5
bigqueryreservation,4,0,0,4,5
bigtable,18,0,3,12,34
billing,4,0,5,0,31
binaryauthorization,12,0,6,2,16
blockchainnodeengine,0,0,0,2,16
certificatemanager,10,0,0,12,46
ces,18,0,0,2,77
chronicle,5,0,0,7,31
cloudasset,0,0,0,1,18
cloudbuild,0,0,0,3,124
cloudbuildv2,43,0,1,4,33
clouddeploy,6,0,3,9,140
clouddomains,0,0,0,2,66
cloudfunctions,5,0,1,3,15
cloudfunctions2,4,0,1,2,39
cloudidentity,1,0,0,0,8
cloudids,0,0,0,1,1
cloudquotas,3,0,0,0,4
cloudrun,10,0,1,8,199
cloudrunv2,9,0,11,9,427
cloudscheduler,6,1,0,3,16
cloudtasks,8,0,1,1,25
colab,16,4,1,5,30
composer,31,0,6,9,81
compute,550,18,159,189,2978
contactcenterinsights,0,0,0,2,16
container,78,36,4,12,478
containeranalysis,3,0,2,3,11
containerattached,1,0,0,2,25
corebilling,0,0,0,1,0
databasemigrationservice,0,0,0,6,81
datacatalog,9,0,4,5,36
dataflow,5,0,0,4,7
dataform,2,0,1,4,24
datafusion,3,0,1,3,14
datalossprevention,0,0,0,1,2251
datapipeline,0,0,0,1,61
dataplex,22,1,9,18,240
dataproc,34,0,6,9,433
dataprocgdc,0,0,0,8,57
dataprocmetastore,10,0,4,4,50
datastream,9,0,0,7,386
deploymentmanager,0,0,0,2,6
developerconnect,0,0,0,12,68
dialogflow,0,0,0,6,164
dialogflowcx,251,0,0,5,741
discoveryengine,7,0,0,13,133
dns,58,0,8,6,108
documentai,1,0,0,1,0
documentaiwarehouse,0,0,0,0,62
edgecontainer,0,0,0,6,60
edgenetwork,2,0,0,6,11
essentialcontacts,0,0,0,0,1
eventarc,22,0,0,17,78
filestore,2,0,0,6,44
firebase,0,0,0,4,3
firebaseappcheck,0,0,0,7,0
firebaseapphosting,1,0,0,9,72
firebasedatabase,0,0,0,1,0
firebasedataconnect,0,0,0,3,5
firebaseextensions,0,0,0,1,15
firebasehosting,3,0,0,3,55
firebasestorage,0,0,0,1,0
firestore,2,0,0,6,17
gemini,2,0,1,24,43
gkebackup,4,0,2,8,115
gkehub,5,0,1,2,10
gkehub2,7,0,2,12,163
gkeonprem,4,0,0,12,435
healthcare,17,0,5,7,83
iam2,0,0,0,0,27
iam3,0,0,0,5,20
iambeta,4,0,1,4,29
iamworkforcepool,2,0,1,2,39
iap,26,0,13,2,81
identityplatform,0,0,0,8,63
integrationconnectors,0,0,0,6,119
integrations,2,0,0,2,47
kms,10,0,3,5,49
logging,22,0,1,2,29
looker,0,0,0,1,22
lustre,0,0,0,2,3
managedkafka,14,0,0,7,39
memcache,0,0,1,2,17
memorystore,0,0,2,3,68
migrationcenter,0,0,0,3,25
mlengine,0,0,0,2,5
modelarmor,0,0,0,2,24
modelarmorglobal,0,0,0,0,23
monitoring,23,0,19,10,198
netapp,5,0,0,22,80
networkconnectivity,13,0,0,10,58
networkconnectivityv1,1,0,0,4,28
networkmanagement,0,0,0,5,20
networksecurity,10,0,1,39,296
networkservices,22,0,0,33,462
notebooks,16,1,2,5,79
observability,0,0,0,1,1
oracledatabase,0,0,0,12,111
orgpolicy,20,0,0,0,36
osconfig,3,0,0,3,503
osconfigv2,0,0,0,4,1233
oslogin,0,0,0,0,0
parallelstore,0,0,0,2,4
parametermanager,1,0,0,2,4
parametermanagerregional,1,0,0,2,4
privateca,14,60,2,9,561
privilegedaccessmanager,0,0,15,0,53
publicca,0,0,0,1,0
pubsub,17,0,5,5,63
pubsublite,6,0,0,3,6
redis,2,0,2,6,73
resourcemanager,14,2,22,7,69
resourcemanager3,0,0,0,0,0
runtimeconfig,2,0,1,2,3
saasruntime,0,0,0,18,59
secretmanager,3,0,1,4,27
secretmanagerregional,3,0,1,3,14
securesourcemanager,5,0,2,5,18
securitycenter,3,0,1,3,57
securitycentermanagement,1,0,0,1,51
securitycenterv2,2,0,1,3,6
securityposture,0,0,0,1,149
securityscanner,0,0,0,1,9
servicedirectory,4,0,2,2,11
servicemanagement,4,0,2,1,10
servicenetworking,1,0,0,1,1
serviceusage,0,0,0,1,1
siteverification,1,0,0,0,2
sourcerepo,2,0,2,1,4
spanner,10,0,3,8,42
sql,17,1,15,12,77
storage,19,0,6,6,60
storagebatchoperations,0,0,0,1,19
storagecontrol,27,0,0,0,69
storageinsights,0,0,0,2,34
storagetransfer,3,0,0,2,81
tags,6,0,2,0,7
tpuv2,5,0,0,4,28
transcoder,0,0,0,4,212
vertexai,17,0,6,28,326
vmwareengine,1,0,0,4,47
vpcaccess,1,0,0,3,2
workbench,22,0,1,3,43
workflows,1,0,0,2,5
workstations,4,0,2,9,78
