product,Representation,NullEmpty,Ordering,CustomizeDiff,NestedBlock,TotalScore,TotalNestedWeight,TotalNonNestedWeight,ResourceCount,AverageScore,PercentIAM
accessapproval,0,0,6,0,6,12.90,6.00,6.90,3,4.30,0.0
accesscontextmanager,51,0,155,0,596,208.30,0.00,208.30,19,10.96,15.8
activedirectory,0,0,2,5,9,21.35,8.00,13.35,3,7.12,0.0
alloydb,5,0,0,8,87,107.60,84.00,23.60,4,26.90,0.0
apigateway,7,0,3,6,30,37.20,12.00,25.20,12,3.10,75.0
apigee,5,0,17,6,150,92.10,56.00,36.10,36,2.56,8.3
apihub,1,0,0,6,57,38.70,24.00,14.70,5,7.74,0.0
appengine,2,0,2,9,76,42.65,18.00,24.65,8,5.33,0.0
apphub,3,0,0,5,38,22.65,8.00,14.65,4,5.66,0.0
artifactregistry,12,0,2,3,67,27.45,6.00,21.45,5,5.49,60.0
backupdr,2,0,0,7,29,34.15,16.00,18.15,5,6.83,0.0
beyondcorp,4,0,3,8,90,54.00,28.00,26.00,11,4.91,54.5
biglake,0,0,0,1,8,2.25,0.00,2.25,3,0.75,0.0
bigquery,43,0,3,10,173,126.10,52.00,74.10,12,10.51,50.0
bigqueryanalyticshub,24,0,4,4,41,62.80,22.00,40.80,10,6.28,60.0
bigqueryconnection,2,0,1,1,17,5.75,0.00,5.75,4,1.44,75.0
bigquerydatapolicy,5,0,1,1,4,8.95,0.00,8.95,4,2.24,75.0
bigquerydatapolicyv2,4,0,1,1,5,9.75,2.00,7.75,4,2.44,75.0
bigquerydatatransfer,0,0,0,3,5,6.75,0.00,6.75,1,6.75,0.0
bigqueryreservation,4,0,0,4,5,19.60,6.00,13.60,4,4.90,0.0
bigtable,18,0,3,12,34,61.80,12.00,49.80,14,4.41,42.9
billing,4,0,5,0,31,19.50,10.00,9.50,4,4.88,75.0
binaryauthorization,12,0,6,2,16,23.40,0.00,23.40,5,4.68,60.0
blockchainnodeengine,0,0,0,2,16,18.50,14.00,4.50,1,18.50,0.0
certificatemanager,10,0,0,12,46,76.00,38.00,38.00,6,12.67,0.0
ces,18,0,0,2,77,26.50,4.00,22.50,2,13.25,0.0
chronicle,5,0,0,7,31,48.75,28.00,20.75,7,6.96,0.0
cloudasset,0,0,0,1,18,2.25,0.00,2.25,3,0.75,0.0
cloudbuild,0,0,0,3,124,16.75,10.00,6.75,2,8.38,0.0
cloudbuildv2,43,0,1,4,33,66.30,6.00,60.30,5,13.26,60.0
clouddeploy,6,0,3,9,140,66.75,36.00,30.75,12,5.56,75.0
clouddomains,0,0,0,2,66,14.50,10.00,4.50,1,14.50,0.0
cloudfunctions,5,0,1,3,15,25.65,12.00,13.65,4,6.41,75.0
cloudfunctions2,4,0,1,2,39,32.20,22.00,10.20,4,8.05,75.0
cloudidentity,1,0,0,0,8,7.20,6.00,1.20,2,3.60,0.0
cloudids,0,0,0,1,1,2.25,0.00,2.25,1,2.25,0.0
cloudquotas,3,0,0,0,4,5.50,2.00,3.50,2,2.75,0.0
cloudrun,10,0,1,8,199,136.50,106.00,30.50,5,27.30,60.0
cloudrunv2,9,0,11,9,427,168.35,126.00,42.35,12,14.03,75.0
cloudscheduler,6,1,0,3,16,14.15,0.00,14.15,1,14.15,0.0
cloudtasks,8,0,1,1,25,16.35,4.00,12.35,4,4.09,75.0
colab,16,4,1,5,30,55.15,20.00,35.15,7,7.88,42.9
composer,31,0,6,9,81,168.35,108.00,60.35,3,56.12,0.0
compute,550,18,159,189,2978,2495.55,1286.00,1209.55,168,14.85,23.2
contactcenterinsights,0,0,0,2,16,4.50,0.00,4.50,2,2.25,0.0
container,78,36,4,12,478,557.30,404.00,153.30,2,278.65,0.0
containeranalysis,3,0,2,3,11,12.25,0.00,12.25,6,2.04,50.0
containerattached,1,0,0,2,25,17.50,12.00,5.50,1,17.50,0.0
corebilling,0,0,0,1,0,2.25,0.00,2.25,1,2.25,0.0
databasemigrationservice,0,0,0,6,81,39.50,26.00,13.50,3,13.17,0.0
datacatalog,9,0,4,5,36,44.25,18.00,26.25,18,2.46,66.7
dataflow,5,0,0,4,7,26.40,12.00,14.40,2,13.20,0.0
dataform,2,0,1,4,24,28.50,16.00,12.50,6,4.75,50.0
datafusion,3,0,1,3,14,17.35,6.00,11.35,4,4.34,75.0
datalossprevention,0,0,0,1,2251,4.25,2.00,2.25,5,0.85,0.0
datapipeline,0,0,0,1,61,2.25,0.00,2.25,1,2.25,0.0
dataplex,22,1,9,18,240,119.60,42.00,77.60,37,3.23,73.0
dataproc,34,0,6,9,433,388.95,324.00,64.95,14,27.78,64.3
dataprocgdc,0,0,0,8,57,34.00,16.00,18.00,3,11.33,0.0
dataprocmetastore,10,0,4,4,50,45.20,20.00,25.20,14,3.23,85.7
datastream,9,0,0,7,386,40.35,14.00,26.35,3,13.45,0.0
deploymentmanager,0,0,0,2,6,4.50,0.00,4.50,1,4.50,0.0
developerconnect,0,0,0,12,68,65.00,38.00,27.00,4,16.25,0.0
dialogflow,0,0,0,6,164,15.50,2.00,13.50,6,2.58,0.0
dialogflowcx,251,0,0,5,741,312.25,50.00,262.25,14,22.30,0.0
discoveryengine,7,0,0,13,133,48.25,12.00,36.25,13,3.71,0.0
dns,58,0,8,6,108,103.00,16.00,87.00,8,12.88,37.5
documentai,1,0,0,1,0,3.45,0.00,3.45,2,1.73,0.0
documentaiwarehouse,0,0,0,0,62,0.00,0.00,0.00,2,0.00,0.0
edgecontainer,0,0,0,6,60,81.50,68.00,13.50,3,27.17,0.0
edgenetwork,2,0,0,6,11,27.90,12.00,15.90,3,9.30,0.0
essentialcontacts,0,0,0,0,1,0.00,0.00,0.00,1,0.00,0.0
eventarc,22,0,0,17,78,106.65,44.00,62.65,7,15.24,0.0
filestore,2,0,0,6,44,39.90,24.00,15.90,3,13.30,0.0
firebase,0,0,0,4,3,11.00,2.00,9.00,4,2.75,0.0
firebaseappcheck,0,0,0,7,0,15.75,0.00,15.75,7,2.25,0.0
firebaseapphosting,1,0,0,9,72,131.45,110.00,21.45,5,26.29,0.0
firebasedatabase,0,0,0,1,0,2.25,0.00,2.25,1,2.25,0.0
firebasedataconnect,0,0,0,3,5,12.75,6.00,6.75,1,12.75,0.0
firebaseextensions,0,0,0,1,15,10.25,8.00,2.25,1,10.25,0.0
firebasehosting,3,0,0,3,55,19.75,10.00,9.75,5,3.95,0.0
