resource,provenance,product,is_iam,schema_callee,file_path:line
google_folder_access_approval_settings,Generated,accessapproval,false,accessapproval.ResourceAccessApprovalFolderSettings,google-beta/provider/provider_mmv1_resources.go:628
google_organization_access_approval_settings,Generated,accessapproval,false,accessapproval.ResourceAccessApprovalOrganizationSettings,google-beta/provider/provider_mmv1_resources.go:629
google_project_access_approval_settings,Generated,accessapproval,false,accessapproval.ResourceAccessApprovalProjectSettings,google-beta/provider/provider_mmv1_resources.go:630
google_access_context_manager_access_level,Generated,accesscontextmanager,false,accesscontextmanager.ResourceAccessContextManagerAccessLevel,google-beta/provider/provider_mmv1_resources.go:631
google_access_context_manager_access_level_condition,Generated,accesscontextmanager,false,accesscontextmanager.ResourceAccessContextManagerAccessLevelCondition,google-beta/provider/provider_mmv1_resources.go:632
google_access_context_manager_access_levels,Generated,accesscontextmanager,false,accesscontextmanager.ResourceAccessContextManagerAccessLevels,google-beta/provider/provider_mmv1_resources.go:633
google_access_context_manager_access_policy,Generated,accesscontextmanager,false,accesscontextmanager.ResourceAccessContextManagerAccessPolicy,google-beta/provider/provider_mmv1_resources.go:634
google_access_context_manager_access_policy_iam_binding,Generated,accesscontextmanager,true,tpgiamresource.ResourceIamBinding,google-beta/provider/provider_mmv1_resources.go:635
google_access_context_manager_access_policy_iam_member,Generated,accesscontextmanager,true,tpgiamresource.ResourceIamMember,google-beta/provider/provider_mmv1_resources.go:636
google_access_context_manager_access_policy_iam_policy,Generated,accesscontextmanager,true,tpgiamresource.ResourceIamPolicy,google-beta/provider/provider_mmv1_resources.go:637
google_access_context_manager_authorized_orgs_desc,Generated,accesscontextmanager,false,accesscontextmanager.ResourceAccessContextManagerAuthorizedOrgsDesc,google-beta/provider/provider_mmv1_resources.go:638
google_access_context_manager_egress_policy,Generated,accesscontextmanager,false,accesscontextmanager.ResourceAccessContextManagerEgressPolicy,google-beta/provider/provider_mmv1_resources.go:639
google_access_context_manager_gcp_user_access_binding,Generated,accesscontextmanager,false,accesscontextmanager.ResourceAccessContextManagerGcpUserAccessBinding,google-beta/provider/provider_mmv1_resources.go:640
google_access_context_manager_ingress_policy,Generated,accesscontextmanager,false,accesscontextmanager.ResourceAccessContextManagerIngressPolicy,google-beta/provider/provider_mmv1_resources.go:641
google_access_context_manager_service_perimeter,Generated,accesscontextmanager,false,accesscontextmanager.ResourceAccessContextManagerServicePerimeter,google-beta/provider/provider_mmv1_resources.go:642
google_access_context_manager_service_perimeter_dry_run_egress_policy,Generated,accesscontextmanager,false,accesscontextmanager.ResourceAccessContextManagerServicePerimeterDryRunEgressPolicy,google-beta/provider/provider_mmv1_resources.go:643
