resource,attribute_path,type,required,optional,computed,attr_class,is_block,block_kind,file_path:line
google_access_context_manager_access_level,basic,schema.TypeList,false,true,false,Optional,true,schema.TypeList,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:127
google_access_context_manager_access_level,basic.combining_function,schema.TypeString,false,true,false,Optional,false,,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:313
google_access_context_manager_access_level,basic.conditions,schema.TypeList,true,false,false,Required,true,schema.TypeList,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:134
google_access_context_manager_access_level,basic.conditions.device_policy,schema.TypeList,false,true,false,Optional,true,schema.TypeList,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:141
google_access_context_manager_access_level,basic.conditions.device_policy.allowed_device_management_levels,schema.TypeList,false,true,false,Optional,true,schema.TypeList,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:150
google_access_context_manager_access_level,basic.conditions.device_policy.allowed_encryption_statuses,schema.TypeList,false,true,false,Optional,true,schema.TypeList,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:160
google_access_context_manager_access_level,basic.conditions.device_policy.os_constraints,schema.TypeList,false,true,false,Optional,true,schema.TypeList,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:170
google_access_context_manager_access_level,basic.conditions.device_policy.os_constraints.minimum_version,schema.TypeString,false,true,false,Optional,false,,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:183
google_access_context_manager_access_level,basic.conditions.device_policy.os_constraints.os_type,schema.TypeString,true,false,false,Required,false,,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:177
google_access_context_manager_access_level,basic.conditions.device_policy.os_constraints.require_verified_chrome_os,schema.TypeBool,false,true,false,Optional,false,,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:190
google_access_context_manager_access_level,basic.conditions.device_policy.require_admin_approval,schema.TypeBool,false,true,false,Optional,false,,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:198
google_access_context_manager_access_level,basic.conditions.device_policy.require_corp_owned,schema.TypeBool,false,true,false,Optional,false,,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:203
google_access_context_manager_access_level,basic.conditions.device_policy.require_screen_lock,schema.TypeBool,false,true,false,Optional,false,,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:208
google_access_context_manager_access_level,basic.conditions.ip_subnetworks,schema.TypeList,false,true,false,Optional,true,schema.TypeList,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:217
google_access_context_manager_access_level,basic.conditions.members,schema.TypeList,false,true,false,Optional,true,schema.TypeList,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:234
google_access_context_manager_access_level,basic.conditions.negate,schema.TypeBool,false,true,false,Optional,false,,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:249
google_access_context_manager_access_level,basic.conditions.regions,schema.TypeList,false,true,false,Optional,true,schema.TypeList,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:256
google_access_context_manager_access_level,basic.conditions.required_access_levels,schema.TypeList,false,true,false,Optional,true,schema.TypeList,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:266
google_access_context_manager_access_level,basic.conditions.vpc_network_sources,schema.TypeList,false,true,false,Optional,true,schema.TypeList,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:278
google_access_context_manager_access_level,basic.conditions.vpc_network_sources.vpc_subnetwork,schema.TypeList,false,true,false,Optional,true,schema.TypeList,google-beta/services/accesscontextmanager/resource_access_context_manager_access_level.go:284
