resource,attribute_path,detector_kind,detector_name,family,attr_class,base_weight,class_multiplier,weight,provenance,product,is_iam,file_path:line,notes
google_compute_packet_mirroring,CustomizeDiff,CustomizeDiff,tpgresource.DefaultProviderProject,CustomizeDiff,Optional,1.5,1.5,2.25,Generated,compute,false,google-beta/services/compute/resource_compute_packet_mirroring.go:106,Resource-level diff hook; attr_class defaulted to Optional for plan-wide behavior
google_compute_packet_mirroring,collector_ilb,NestedBlock,TypeList,NestedBlock,Required,4.0,1.0,4.0,Generated,compute,false,google-beta/services/compute/resource_compute_packet_mirroring.go:112,
google_compute_packet_mirroring,collector_ilb.url,DiffSuppressFunc,tpgresource.CompareSelfLinkOrResourceName,Representation,Required,1.0,1.2,1.2,Generated,compute,false,google-beta/services/compute/resource_compute_packet_mirroring.go:124,
google_compute_packet_mirroring,mirrored_resources,NestedBlock,TypeList,NestedBlock,Required,4.0,1.0,4.0,Generated,compute,false,google-beta/services/compute/resource_compute_packet_mirroring.go:130,
google_compute_packet_mirroring,mirrored_resources.instances,NestedBlock,TypeSet,NestedBlock,Optional,4.0,0.9,3.6,Generated,compute,false,google-beta/services/compute/resource_compute_packet_mirroring.go:137,
google_compute_packet_mirroring,mirrored_resources.instances,SetHash,tpgresource.NestedUrlSetHashFunc,Ordering,Optional,1.0,1.0,1.0,Generated,compute,false,google-beta/services/compute/resource_compute_packet_mirroring.go:142,
google_compute_packet_mirroring,mirrored_resources.instances.url,DiffSuppressFunc,tpgresource.CompareSelfLinkRelativePaths,Representation,Required,1.0,1.2,1.2,Generated,compute,false,google-beta/services/compute/resource_compute_packet_mirroring.go:276,
google_compute_packet_mirroring,mirrored_resources.subnetworks,NestedBlock,TypeSet,NestedBlock,Optional,4.0,0.9,3.6,Generated,compute,false,google-beta/services/compute/resource_compute_packet_mirroring.go:145,
google_compute_packet_mirroring,mirrored_resources.subnetworks,SetHash,tpgresource.NestedUrlSetHashFunc,Ordering,Optional,1.0,1.0,1.0,Generated,compute,false,google-beta/services/compute/resource_compute_packet_mirroring.go:150,
google_compute_packet_mirroring,mirrored_resources.subnetworks.url,DiffSuppressFunc,tpgresource.CompareSelfLinkRelativePaths,Representation,Required,1.0,1.2,1.2,Generated,compute,false,google-beta/services/compute/resource_compute_packet_mirroring.go:263,
google_compute_packet_mirroring,network,NestedBlock,TypeList,NestedBlock,Required,4.0,1.0,4.0,Generated,compute,false,google-beta/services/compute/resource_compute_packet_mirroring.go:171,
google_compute_packet_mirroring,network.url,DiffSuppressFunc,tpgresource.CompareSelfLinkOrResourceName,Representation,Required,1.0,1.2,1.2,Generated,compute,false,google-beta/services/compute/resource_compute_packet_mirroring.go:185,
google_compute_packet_mirroring,filter,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Generated,compute,false,google-beta/services/compute/resource_compute_packet_mirroring.go:197,
google_dns_response_policy,CustomizeDiff,CustomizeDiff,tpgresource.DefaultProviderProject,CustomizeDiff,Optional,1.5,1.5,2.25,Generated,dns,false,google-beta/services/dns/resource_dns_response_policy.go:106,Resource-level diff hook
google_dns_response_policy,gke_clusters,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Generated,dns,false,google-beta/services/dns/resource_dns_response_policy.go:118,
google_dns_response_policy,networks,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Generated,dns,false,google-beta/services/dns/resource_dns_response_policy.go:132,
google_dns_response_policy,networks.network_url,DiffSuppressFunc,tpgresource.CompareSelfLinkOrResourceName,Representation,Required,1.0,1.2,1.2,Generated,dns,false,google-beta/services/dns/resource_dns_response_policy.go:148,
google_cloud_scheduler_job,CustomizeDiff,CustomizeDiff,validateAuthHeaders,CustomizeDiff,Optional,1.5,1.5,2.25,Generated,cloudscheduler,false,google-beta/services/cloudscheduler/resource_cloud_scheduler_job.go:188,Auth header validator in diff
google_cloud_scheduler_job,CustomizeDiff,CustomizeDiff,tpgresource.DefaultProviderProject,CustomizeDiff,Optional,1.5,1.5,2.25,Generated,cloudscheduler,false,google-beta/services/cloudscheduler/resource_cloud_scheduler_job.go:189,
google_cloud_scheduler_job,CustomizeDiff,CustomizeDiff,tpgresource.DefaultProviderRegion,CustomizeDiff,Optional,1.5,1.5,2.25,Generated,cloudscheduler,false,google-beta/services/cloudscheduler/resource_cloud_scheduler_job.go:190,
google_cloud_scheduler_job,app_engine_http_target,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Generated,cloudscheduler,false,google-beta/services/cloudscheduler/resource_cloud_scheduler_job.go:201,
google_cloud_scheduler_job,app_engine_http_target.app_engine_routing,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Generated,cloudscheduler,false,google-beta/services/cloudscheduler/resource_cloud_scheduler_job.go:220,
google_cloud_scheduler_job,http_target,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Generated,cloudscheduler,false,google-beta/services/cloudscheduler/resource_cloud_scheduler_job.go:299,
google_cloud_scheduler_job,http_target.uri,DiffSuppressFunc,LastSlashDiffSuppress,Representation,Required,1.0,1.2,1.2,Generated,cloudscheduler,false,google-beta/services/cloudscheduler/resource_cloud_scheduler_job.go:310,
google_cloud_scheduler_job,http_target.oauth_token,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Generated,cloudscheduler,false,google-beta/services/cloudscheduler/resource_cloud_scheduler_job.go:336,
google_cloud_scheduler_job,http_target.oauth_token,DiffSuppressFunc,authHeaderDiffSuppress,Representation,Optional,1.0,1.0,1.0,Generated,cloudscheduler,false,google-beta/services/cloudscheduler/resource_cloud_scheduler_job.go:339,
google_cloud_scheduler_job,http_target.oidc_token,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Generated,cloudscheduler,false,google-beta/services/cloudscheduler/resource_cloud_scheduler_job.go:360,
google_cloud_scheduler_job,http_target.oidc_token,DiffSuppressFunc,authHeaderDiffSuppress,Representation,Optional,1.0,1.0,1.0,Generated,cloudscheduler,false,google-beta/services/cloudscheduler/resource_cloud_scheduler_job.go:363,
google_cloud_scheduler_job,pubsub_target,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Generated,cloudscheduler,false,google-beta/services/cloudscheduler/resource_cloud_scheduler_job.go:395,
google_cloud_scheduler_job,retry_config,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Generated,cloudscheduler,false,google-beta/services/cloudscheduler/resource_cloud_scheduler_job.go:439,
google_cloud_scheduler_job,attempt_deadline,DiffSuppressFunc,"tpgresource.EmptyOrDefaultStringSuppress(""180s"")",NullEmpty,Optional,1.0,1.0,1.0,Generated,cloudscheduler,false,google-beta/services/cloudscheduler/resource_cloud_scheduler_job.go:281,
google_iam_workload_identity_pool_provider,CustomizeDiff,CustomizeDiff,tpgresource.DefaultProviderProject,CustomizeDiff,Optional,1.5,1.5,2.25,Generated,iambeta,false,google-beta/services/iambeta/resource_iam_workload_identity_pool_provider.go:134,
google_iam_workload_identity_pool_provider,aws,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Generated,iambeta,false,google-beta/services/iambeta/resource_iam_workload_identity_pool_provider.go:244,
google_iam_workload_identity_pool_provider,oidc,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Generated,iambeta,false,google-beta/services/iambeta/resource_iam_workload_identity_pool_provider.go:277,
google_iam_workload_identity_pool_provider,oidc.jwks_json,StateFunc,structure.NormalizeJsonString,Representation,Optional,1.0,1.0,1.0,Generated,iambeta,false,google-beta/services/iambeta/resource_iam_workload_identity_pool_provider.go:308,
google_iam_workload_identity_pool_provider,saml,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Generated,iambeta,false,google-beta/services/iambeta/resource_iam_workload_identity_pool_provider.go:340,
google_iam_workload_identity_pool_provider,x509,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Generated,iambeta,false,google-beta/services/iambeta/resource_iam_workload_identity_pool_provider.go:355,
google_iam_workload_identity_pool_provider,x509.trust_store,NestedBlock,TypeList,NestedBlock,Required,4.0,1.0,4.0,Generated,iambeta,false,google-beta/services/iambeta/resource_iam_workload_identity_pool_provider.go:363,
google_iam_workload_identity_pool_provider,x509.trust_store.trust_anchors,NestedBlock,TypeList,NestedBlock,Required,4.0,1.0,4.0,Generated,iambeta,false,google-beta/services/iambeta/resource_iam_workload_identity_pool_provider.go:374,
google_iam_workload_identity_pool_provider,x509.trust_store.intermediate_cas,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Generated,iambeta,false,google-beta/services/iambeta/resource_iam_workload_identity_pool_provider.go:392,
google_compute_target_pool,CustomizeDiff,CustomizeDiff,tpgresource.DefaultProviderProject,CustomizeDiff,Optional,1.5,1.5,2.25,Handwritten,compute,false,google-beta/services/compute/resource_compute_target_pool.go:54,
