resource,score,nested_weight,non_nested_weight,tier,LikelyBreaking,provenance,product,is_iam,Representation,NullEmpty,Ordering,CustomizeDiff,NestedBlock,Required,Optional,Optional+Computed,Computed-only
google_access_context_manager_access_level,0.00,0.00,0.00,A,true,Generated,accesscontextmanager,false,0,0,0,0,45,4,41,0,0
google_access_context_manager_access_level_condition,1.20,0.00,1.20,A,true,Generated,accesscontextmanager,false,1,0,0,0,17,1,17,0,0
google_access_context_manager_access_levels,0.00,0.00,0.00,A,true,Generated,accesscontextmanager,false,0,0,0,0,61,6,55,0,0
google_access_context_manager_access_policy,0.00,0.00,0.00,D,true,Generated,accesscontextmanager,false,0,0,0,0,1,0,1,0,0
google_access_context_manager_access_policy_iam_binding,1.10,0.00,1.10,D,true,Generated,accesscontextmanager,true,0,0,1,0,2,2,1,0,0
google_access_context_manager_access_policy_iam_member,1.20,0.00,1.20,D,true,Generated,accesscontextmanager,true,1,0,0,0,1,1,1,0,0
google_access_context_manager_access_policy_iam_policy,1.20,0.00,1.20,D,false,Generated,accesscontextmanager,true,1,0,0,0,0,1,0,0,0
google_access_context_manager_authorized_orgs_desc,0.00,0.00,0.00,D,true,Generated,accesscontextmanager,false,0,0,0,0,1,0,1,0,0
google_access_context_manager_egress_policy,1.20,0.00,1.20,D,false,Generated,accesscontextmanager,false,1,0,0,0,0,1,0,0,0
google_access_context_manager_gcp_user_access_binding,0.00,0.00,0.00,A,true,Generated,accesscontextmanager,false,0,0,0,0,25,0,25,0,0
google_access_context_manager_ingress_policy,1.20,0.00,1.20,D,false,Generated,accesscontextmanager,false,1,0,0,0,0,1,0,0,0
google_access_context_manager_service_perimeter,74.00,0.00,74.00,A,true,Generated,accesscontextmanager,false,16,0,58,0,164,0,238,0,0
google_access_context_manager_service_perimeter_dry_run_egress_policy,7.20,0.00,7.20,A,true,Generated,accesscontextmanager,false,7,0,0,0,17,1,23,0,0
google_access_context_manager_service_perimeter_dry_run_ingress_policy,7.20,0.00,7.20,A,true,Generated,accesscontextmanager,false,7,0,0,0,15,1,21,0,0
