resource,score,nested_weight,non_nested_weight,tier,LikelyBreaking,provenance,product,is_iam
google_container_cluster,443.40,324.00,119.40,A,true,Handwritten,container,false
google_dataproc_cluster,287.50,252.00,35.50,A,true,Handwritten,dataproc,false
google_privateca_certificate,281.50,276.00,5.50,A,true,Generated,privateca,false
google_compute_region_resize_request,218.55,214.00,4.55,A,true,Generated,compute,false
google_compute_resize_request,218.55,214.00,4.55,A,true,Generated,compute,false
google_dialogflow_cx_page,171.00,16.00,155.00,A,true,Generated,dialogflowcx,false
google_composer_environment,161.60,108.00,53.60,A,true,Handwritten,composer,false
google_transcoder_job,150.50,146.00,4.50,A,true,Generated,transcoder,false
google_transcoder_job_template,150.50,146.00,4.50,A,true,Generated,transcoder,false
google_container_node_pool,113.90,80.00,33.90,A,true,Handwritten,container,false
google_compute_instance,113.65,28.00,85.65,A,true,Handwritten,compute,false
google_compute_url_map,107.15,36.00,71.15,A,true,Generated,compute,false
google_sql_database_instance,102.50,54.00,48.50,A,true,Handwritten,sql,false
google_cloud_run_service,101.60,86.00,15.60,A,true,Generated,cloudrun,false
google_compute_firewall_policy_with_rules,98.00,98.00,0.00,A,true,Generated,compute,false
google_compute_network_firewall_policy_with_rules,96.25,94.00,2.25,A,true,Generated,compute,false
google_compute_region_network_firewall_policy_with_rules,96.25,94.00,2.25,A,true,Generated,compute,false
google_access_context_manager_service_perimeters,96.00,0.00,96.00,A,true,Generated,accesscontextmanager,false
google_compute_interconnect_attachment_group,88.25,86.00,2.25,A,true,Generated,compute,false
google_workbench_instance,85.95,58.00,27.95,A,true,Generated,workbench,false
